origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV141_Turbellaria_Polycladida_Echinoplana_Echinoplana_celerrima,1,409,0.498903,0.784997,-20091.3,-20100.7,0.0267264,0.322525,NA,NA,NA,NA
placements,ASV166_Turbellaria_Polycladida_Notoplana_Notoplana_australis,1,409,0.498903,0.784997,-20091.3,-20100.7,0.0267264,0.322525,NA,NA,NA,NA
placements,ASV23_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,4,0.201009,0.39726,-21594.3,-21596.5,0.00180635,6.11352e-06,NA,NA,NA,NA
placements,ASV109_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21590.7,-21593.2,6.50911e-06,0.00995052,NA,NA,NA,NA
placements,ASV26_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,408,0.745198,0.891102,-20270.6,-20276.6,0.0897216,0.179562,NA,NA,NA,NA
placements,ASV123_Turbellaria_Macrostomorpha_Austromacrostomum_Austromacrostomum_arumoidicornum,1,408,0.715313,0.836097,-20262.6,-20267.1,0.0878636,0.126787,NA,NA,NA,NA
placements,ASV205_Turbellaria_Rhabdocoela_Cheliplanilla_Cheliplanilla_caudata,1,669,1,1,-21230.2,-21232.2,0.0325223,0.0258455,NA,NA,NA,NA
placements,ASV68_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21628.8,-21631.5,6.50911e-06,0.00328742,NA,NA,NA,NA
placements,ASV180_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.580508,0.375066,-18173.1,-18200.6,0.0935528,1.10165,NA,NA,NA,NA
placements,ASV187_Cestoda_Eucestoda_Taenia_Taenia_ovis,1,516,0.540568,0.504597,-6991.88,-7064.81,0.00417215,1.99999,NA,NA,NA,NA
placements,ASV59_Turbellaria_Acoelomorpha_Pelophila_Pelophila_lutheri,1,408,0.706946,0.722074,-20215.5,-20254.3,0.0888722,1.66552,NA,NA,NA,NA
placements,ASV88_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21634.3,-21636.8,6.50911e-06,0.00661428,NA,NA,NA,NA
placements,ASV77_Turbellaria_Rhabdocoela_Paracicerina_Paracicerina_laboeica,1,688,1,1,-21423.4,-21425.7,0.0279866,0.0279721,NA,NA,NA,NA
placements,ASV28_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,542,0.553594,0.736126,-21210.7,-21212.4,0.00595977,0.00232628,NA,NA,NA,NA
placements,ASV74_Turbellaria_Acoelomorpha_Proaphanostoma_Proaphanostoma_tenuissima,1,408,0.768268,0.814218,-19955.6,-19993.6,0.0849725,1.63137,NA,NA,NA,NA
placements,ASV69_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,715,1,1,-21759.2,-21765.4,5.31664e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV3_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.549054,0.460666,-20195.5,-20224.1,0.102498,1.09171,NA,NA,NA,NA
placements,ASV64_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21631.9,-21634.4,6.50911e-06,0.00663819,NA,NA,NA,NA
placements,ASV99_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21459.3,-21461.8,0.00170657,0.00780256,NA,NA,NA,NA
placements,ASV174_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,151,0.47618,0.834915,-20867.8,-20899,0.0067169,1.2661,NA,NA,NA,NA
placements,ASV43_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.566664,0.88524,-19900.2,-19928.7,0.171567,1.14435,NA,NA,NA,NA
placements,ASV56_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,390,0.522839,0.434984,-21373.2,-21383.8,0.0853842,0.338993,NA,NA,NA,NA
placements,ASV143_Turbellaria_Macrostomorpha_Myozonaria_Myozonaria_fissipara,1,408,0.843267,0.899955,-20263.4,-20268.2,0.0845218,0.136402,NA,NA,NA,NA
